material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zr_wyckoff,num_Zr_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1133317,Na3Zr2Si2PO12,1.871418162412368,0.6056831412972983,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,16.0,6.0,2.0129020228741594,2.2707825925996286,2.128521232077363,0.10622231801504878,0.25788056972546913,80.34146846798647,36.18362170030392,18.76758175946321,170.4058068710587,6.0,1.0,5,Octahedron
mp-1133317,Na3Zr2Si2PO12,1.871418162412368,0.6056831412972983,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,17.0,6.0,2.037269527171703,2.2238529730241723,2.118031024225314,0.05728281330368099,0.18658344585246933,106.65011283690536,33.68965358695754,83.50872452926454,177.22849473977442,6.0,1.0,6,Octahedron
mp-1133317,Na3Zr2Si2PO12,1.871418162412368,0.6056831412972983,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,18.0,6.0,2.041689183141993,2.1976234343849925,2.117787691700408,0.04698915318068962,0.15593425124299953,48.376690396518335,28.525948462419567,14.624625221984001,115.78552998869006,6.0,1.0,7,Octahedron
mp-1133317,Na3Zr2Si2PO12,1.871418162412368,0.6056831412972983,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,19.0,6.0,2.042191788430543,2.2041644620673813,2.1183610844749263,0.05431959604671193,0.16197267363683832,80.7173283448752,38.95302749541585,19.242117943610232,175.8997385419923,6.0,1.0,8,Octahedron
mp-1133351,Na3Zr2Si2PO12,1.8704722463739607,0.604655485810066,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,6.0,6.0,2.077190553763706,2.1743780600928333,2.1086342921523618,0.03244566847105611,0.09718750632912743,94.79627347213358,35.41651711313097,33.9656811559404,176.27539047966818,6.0,1.0,1,Octahedron
mp-1133351,Na3Zr2Si2PO12,1.8704722463739607,0.604655485810066,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,7.0,6.0,2.024294283450146,2.2210921911921147,2.1164598646843307,0.06589301513220643,0.1967979077419688,46.71974126958984,27.412296994384732,12.405934982911814,112.32613232113924,6.0,1.0,2,Octahedron
mp-1133351,Na3Zr2Si2PO12,1.8704722463739607,0.604655485810066,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,8.0,6.0,2.0162984324853155,2.24949918753441,2.1267587711410667,0.09583325648128067,0.23320075504909443,45.224134772114695,26.056639425558842,12.100486556842885,107.8914344386451,6.0,1.0,3,Octahedron
mp-1133351,Na3Zr2Si2PO12,1.8704722463739607,0.604655485810066,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,9.0,6.0,2.033597080607868,2.2536191404417507,2.124883815994928,0.07893343646055721,0.2200220598338829,94.83950139434681,34.48249895157078,38.16573109769935,172.40921330309823,6.0,1.0,4,Octahedron
mp-1190186,ZrO2,2.1257347366097585,0.1560017235674587,[7.0],4.0,4.0,4.0,Square-face capped trigonal prism,8c,1,7.0,Zr,0.0,True,0.0,7.0,2.05208052975718,2.2338654477168096,2.1632779249638774,0.05469821388033504,0.1817849179596296,56.14579729497179,21.074779883259207,11.58286410412871,103.1563957284803,7.0,1.0,1,Square-face capped trigonal prism
mp-1190186,ZrO2,2.1257347366097585,0.1560017235674587,[7.0],4.0,4.0,4.0,Square-face capped trigonal prism,8c,1,7.0,Zr,0.0,True,1.0,7.0,2.05208052975718,2.233865447716809,2.1632779249638765,0.05469821388033483,0.18178491795962914,82.71452513799746,39.17441943837106,15.270208931983626,162.7863593384521,7.0,1.0,2,Square-face capped trigonal prism
