material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Nb_wyckoff,num_Nb_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,54.0,6.0,1.9266396282998839,2.1078110129611165,1.9936139734743854,0.05989714253269188,0.18117138466123262,55.54076162770795,30.078024960972463,14.512288839164714,94.96747506593603,6.0,1.0,15,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,55.0,6.0,1.9078364031164863,2.090139619473892,1.9914557582428507,0.05879581085782101,0.18230321635740565,55.534900138080886,30.15881179612344,14.188501459468846,95.55486140935201,6.0,1.0,16,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,56.0,6.0,1.9290224245060794,2.0847437520958207,2.012511133993025,0.05547350903363732,0.15572132758974133,106.72646336408135,33.73832733756656,83.76898170411957,175.03400511509778,6.0,1.0,17,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,57.0,6.0,1.9346754577652887,2.1246903418379426,2.027128577178893,0.06260914258357736,0.19001488407265388,54.073934640512554,27.850482277666263,14.788815482785312,93.72996589490248,6.0,1.0,18,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,58.0,6.0,1.929229376826992,2.107915402232102,2.0260375262008377,0.061743510827141676,0.17868602540511014,54.27973979701395,28.62355150101928,15.879512080435791,96.31865249045104,6.0,1.0,19,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,59.0,6.0,1.944002370346085,2.073879708480635,2.018653178359233,0.04515781409770487,0.12987733813454994,54.34529200791702,28.5739682423383,15.464670217657094,96.05064874936662,6.0,1.0,20,Octahedron
mp-2715299,Na6Nb3In(SiO4)6,1.877382996450244,0.7236599932058368,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,18.0,6.0,1.965527347581469,2.044643973919675,2.0017535848123402,0.03492691731419125,0.07911662633820593,60.47101543324085,26.833334802456662,19.82379319197333,113.44946421788381,6.0,1.0,1,Octahedron
mp-2715299,Na6Nb3In(SiO4)6,1.877382996450244,0.7236599932058368,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,19.0,6.0,1.9599110775555926,2.074103971517853,2.015120458064679,0.041881292512967086,0.11419289396226029,36.32311447122891,14.076355644325522,14.860493633759528,59.38698709541626,6.0,1.0,2,Octahedron
mp-2715299,Na6Nb3In(SiO4)6,1.877382996450244,0.7236599932058368,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,20.0,6.0,1.95315358407928,2.0751139796767064,2.0162850461883646,0.03828882987573316,0.12196039559742644,61.873104265626885,27.042162032628543,20.32060160800675,114.13629872824775,6.0,1.0,3,Octahedron
mp-2715299,Na6Nb3In(SiO4)6,1.877382996450244,0.7236599932058368,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,21.0,6.0,1.9812750995716675,2.0352218541610574,2.014589197726123,0.018934373716798458,0.05394675458938991,50.24046522327057,25.20342245373815,7.544204201017763,86.79308028543744,6.0,1.0,4,Octahedron
mp-2715299,Na6Nb3In(SiO4)6,1.877382996450244,0.7236599932058368,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,22.0,6.0,1.9394663809710673,2.1086234524181107,2.0221256270510537,0.07621535670465784,0.1691570714470434,105.96617908074641,32.538434640332895,81.9361781544662,170.91348294437302,6.0,1.0,5,Octahedron
mp-2715299,Na6Nb3In(SiO4)6,1.877382996450244,0.7236599932058368,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,23.0,6.0,1.9124014612736717,2.069637044715155,1.998164001412771,0.05300437314700352,0.15723558344148314,49.750995514302424,24.87279986487246,7.749587053686621,88.33252290571232,6.0,1.0,6,Octahedron
