material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Rh_wyckoff,num_Rh_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,4,6,2.050790559942301,2.0549783915546973,2.0521865038131004,0.0019741627543950167,0.00418783161239622,51.17585387356658,19.46343094689139,11.228973035709139,97.97286124696261,6,1.0,1,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,5,6,2.0507905599423006,2.0549783915546977,2.0521865038131,0.0019741627543954352,0.004187831612397108,52.58894121545734,26.73235694885787,15.388102243394355,97.97286124696262,6,1.0,2,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,6,6,2.023027475103857,2.0607382447960085,2.045425198881426,0.01618991523573289,0.03771076969215148,57.5552894385539,23.151424320754423,14.10408664726005,96.88068074687769,6,1.0,3,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,7,6,2.029637345934567,2.0704239213231785,2.0457749776212992,0.014297646598101623,0.040786575388611634,57.27122185653155,24.945344080793273,13.607397717390226,93.73353540284675,6,1.0,4,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,8,6,2.0296373459345682,2.07042392132318,2.045774977621299,0.014297646598101935,0.040786575388611634,57.27122185653157,24.945344080793273,13.607397717390226,93.73353540284677,6,1.0,5,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,9,6,2.029637345934567,2.070423921323179,2.0457749776212992,0.014297646598101498,0.04078657538861208,57.27122185653155,24.945344080793273,13.607397717390226,93.73353540284675,6,1.0,6,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,10,6,2.029637345934567,2.070423921323179,2.0457749776212992,0.014297646598101706,0.04078657538861208,57.271221856531575,24.945344080793273,13.607397717390226,93.73353540284678,6,1.0,7,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,11,6,2.023027475103857,2.0607382447960085,2.0454251988814267,0.016189915235733255,0.03771076969215148,57.5552894385539,23.15142432075442,14.10408664726005,96.88068074687767,6,1.0,8,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,12,6,2.0230274751038566,2.0607382447960085,2.0454251988814267,0.016189915235733293,0.037710769692151924,84.21868619554238,34.69431243866618,39.664547173025795,178.40794947171926,6,1.0,9,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,13,6,2.0296373459345673,2.0704239213231785,2.0457749776212997,0.01429764659810138,0.04078657538861119,97.8480891096735,36.853951617403254,37.11807784472953,175.6955829426599,6,1.0,10,Octahedron
