material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Tl_wyckoff,num_Tl_chemenvs,CN,element,charge_range,is_single_charge
mp-1220473,NbTlTeO6,2.662537947406292,0.2434101174353488,[3.0],1.0,1.0,1.0,Pentagonal-face capped pentagonal antiprism,2b,1,3.0,Tl,0.0,True
mp-1227293,Ca4Tl2CO9,1.8046534570367747,0.7739756513659052,[6.0],3.0,3.0,3.0,Octahedron,2d,1,6.0,Tl,0.0,True
mp-1227445,BaSrNdTlCu2O7,4.368172714620238,-7.335137125053038,[4.0],3.0,3.0,3.0,See-saw,1a,1,4.0,Tl,0.0,True
mp-1227475,BeTlAsO4,0.3479574531582611,1.589261547442748,[5.0],1.0,1.0,1.0,Square pyramid,4a,1,5.0,Tl,0.0,True
mp-1227606,BaSrYTlCu2O7,4.402802934578774,-7.460773570697306,[4.0],3.0,3.0,3.0,See-saw,1a,1,4.0,Tl,0.0,True
mp-1227625,Ca3Tl4O9,1.8696721367558808,0.609097139412209,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Tl,0.0,True
mp-1227713,Ca2Tl2O5,1.8401540093624715,0.6590383513105307,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Tl,0.0,True
mp-1227794,BaSrCa2Tl(CuO3)3,4.554981469985536,-8.006350107436187,[4.0],3.0,3.0,3.0,See-saw,1a,1,4.0,Tl,0.0,True
mp-1228177,AlTlSi3O8,2.734540551122992,0.1856602735646777,[10.0],1.0,1.0,1.0,Pentagonal prism,2i,1,10.0,Tl,0.0,True
mp-1228298,Ba3SrTl2Cu2HgO10,1.9284962055794408,0.6020358022928478,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Tl,0.0,True
mp-1228363,Ba2Tl2CuO6,1.745788785481155,1.5259554706328526,[6.0],3.0,3.0,3.0,Square pyramid,2i,1,6.0,Tl,0.0,True
mp-1228402,Ba2NdTlCu2O7,3.89618615445315,-5.716591479270567,[4.0],3.0,3.0,3.0,See-saw,1a,1,4.0,Tl,0.0,True
mp-1228434,Ba2LaTlCu2O7,4.049234110667971,-6.265502080709032,[4.0],3.0,3.0,3.0,See-saw,1a,1,4.0,Tl,0.0,True
mp-1228463,Ba3Sr5Tl5Cu3O19,1.926355654868136,0.7975538689324331,"[4.0, 5.0, 6.0]",3.0,3.0,3.0,"See-saw, Trigonal bipyramid, Octahedron, Tetrahedron",1a,4,4.0,Tl,0.0,True
mp-1228463,Ba3Sr5Tl5Cu3O19,1.926355654868136,0.7975538689324331,"[4.0, 5.0, 6.0]",3.0,3.0,3.0,"See-saw, Trigonal bipyramid, Octahedron, Tetrahedron",1a,4,5.0,Tl,0.0,True
mp-1228463,Ba3Sr5Tl5Cu3O19,1.926355654868136,0.7975538689324331,"[4.0, 5.0, 6.0]",3.0,3.0,3.0,"See-saw, Trigonal bipyramid, Octahedron, Tetrahedron",1a,4,6.0,Tl,0.0,True
mp-1228589,Ba2Ca3TlCu4O11,3.877914969235386,-5.663433687882646,[4.0],3.0,3.0,3.0,See-saw,1d,1,4.0,Tl,0.0,True
mp-1228620,Ba2Ca2Tl2Cu3O10,1.9743083927987084,1.3015979996463167,[4.0],3.0,3.0,3.0,See-saw,2d,1,4.0,Tl,0.0,True
mp-1229126,Ba2Ca4TlCu5O13,4.365766289619786,-7.374430830838546,[4.0],3.0,3.0,3.0,See-saw,1d,1,4.0,Tl,0.0,True
mp-13187,Mg2Tl2(MoO4)3,2.475016592267911,0.3512308144899001,"[6.0, 9.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces are sharingone edge of a face), Tricapped triangular prism (three square-face caps)",4a,2,6.0,Tl,0.0,True
mp-13187,Mg2Tl2(MoO4)3,2.475016592267911,0.3512308144899001,"[6.0, 9.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces are sharingone edge of a face), Tricapped triangular prism (three square-face caps)",4a,2,9.0,Tl,0.0,True
mp-13676,TlPO4,1.9551260378698123,0.4257623821525646,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Tl,0.0,True
mp-13801,Tl2Pt2O7,1.7683695460442823,0.6364306175047041,[8.0],3.0,3.0,3.0,Cube,4c,1,8.0,Tl,0.0,True
mp-1388601,Tl2SeO4,2.729984192240425,0.0591315835633597,"[4.0, 6.0]",1.0,1.0,1.0,"Dodecahedron with triangular faces - p2345 plane normalized, Octahedron",2a,2,4.0,Tl,0.0,True
mp-1388601,Tl2SeO4,2.729984192240425,0.0591315835633597,"[4.0, 6.0]",1.0,1.0,1.0,"Dodecahedron with triangular faces - p2345 plane normalized, Octahedron",2a,2,6.0,Tl,0.0,True
mp-14410,Tl6TeO12,2.087379480626324,0.4782276393310058,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,6f,1,7.0,Tl,0.0,True
mp-14439,K5TlO4,2.369100192911092,-0.5295061881482518,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Tl,0.0,True
mp-15573,Tl3AsO4,2.5358650267965865,0.0234197675847692,[3.0],1.0,1.0,1.0,Square non-coplanar,6c,1,3.0,Tl,0.0,True
mp-16457,Tl2B4O7,2.224680299381853,0.366243191861646,"[2.0, 4.0, 5.0, 6.0, 7.0]",1.0,1.0,1.0,"End-trigonal-face capped trigonal prism, Square pyramid, Square-face capped trigonal prism, Trigonal prism",2i,4,2.0,Tl,0.0,True
mp-16457,Tl2B4O7,2.224680299381853,0.366243191861646,"[2.0, 4.0, 5.0, 6.0, 7.0]",1.0,1.0,1.0,"End-trigonal-face capped trigonal prism, Square pyramid, Square-face capped trigonal prism, Trigonal prism",2i,4,4.0,Tl,0.0,True
mp-16457,Tl2B4O7,2.224680299381853,0.366243191861646,"[2.0, 4.0, 5.0, 6.0, 7.0]",1.0,1.0,1.0,"End-trigonal-face capped trigonal prism, Square pyramid, Square-face capped trigonal prism, Trigonal prism",2i,4,5.0,Tl,0.0,True
mp-16457,Tl2B4O7,2.224680299381853,0.366243191861646,"[2.0, 4.0, 5.0, 6.0, 7.0]",1.0,1.0,1.0,"End-trigonal-face capped trigonal prism, Square pyramid, Square-face capped trigonal prism, Trigonal prism",2i,4,6.0,Tl,0.0,True
mp-16457,Tl2B4O7,2.224680299381853,0.366243191861646,"[2.0, 4.0, 5.0, 6.0, 7.0]",1.0,1.0,1.0,"End-trigonal-face capped trigonal prism, Square pyramid, Square-face capped trigonal prism, Trigonal prism",2i,4,7.0,Tl,0.0,True
mp-16892,Tl2CrO4,2.271490579013764,0.3282365263780115,"[5.0, 9.0]",1.0,1.0,1.0,"Tricapped triangular prism (one square-face cap and two triangular-face caps), Square-face monocapped antiprism",4c,2,5.0,Tl,0.0,True
mp-16892,Tl2CrO4,2.271490579013764,0.3282365263780115,"[5.0, 9.0]",1.0,1.0,1.0,"Tricapped triangular prism (one square-face cap and two triangular-face caps), Square-face monocapped antiprism",4c,2,9.0,Tl,0.0,True
mp-17020,TiTl2(GeO3)3,3.326546584830865,-0.0490472956020576,[9.0],1.0,1.0,1.0,Anticuboctahedron,4f,1,9.0,Tl,0.0,True
mp-18136,UTl4C3O11,3.1139289191557737,0.0068227048457142,[9.0],1.0,1.0,1.0,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Tricapped triangular prism (three square-face caps)",4f,2,9.0,Tl,0.0,True
mp-18168,TlZnPO4,2.112542092100804,0.4531670260847054,"[5.0, 8.0]",1.0,1.0,1.0,"Dodecahedron with triangular faces - p2345 plane normalized, Square-face capped trigonal prism",2a,2,5.0,Tl,0.0,True
mp-18168,TlZnPO4,2.112542092100804,0.4531670260847054,"[5.0, 8.0]",1.0,1.0,1.0,"Dodecahedron with triangular faces - p2345 plane normalized, Square-face capped trigonal prism",2a,2,8.0,Tl,0.0,True
mp-18327,Ba2Tl2O5,2.0333414275884607,0.5067145668702624,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","4c, 4a",2,4.0,Tl,0.0,True
mp-18327,Ba2Tl2O5,2.0333414275884607,0.5067145668702624,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","4c, 4a",2,6.0,Tl,0.0,True
mp-18578,TlZnAsO4,1.9703045172331664,0.5268919595802881,"[5.0, 8.0]",1.0,1.0,1.0,"Square pyramid, Dodecahedron with triangular faces - p2345 plane normalized",2a,2,5.0,Tl,0.0,True
mp-18578,TlZnAsO4,1.9703045172331664,0.5268919595802881,"[5.0, 8.0]",1.0,1.0,1.0,"Square pyramid, Dodecahedron with triangular faces - p2345 plane normalized",2a,2,8.0,Tl,0.0,True
mp-18733,AlTl(MoO4)2,3.49541886661726,-0.1084556728574523,[12.0],1.0,1.0,1.0,Cuboctahedron,1b,1,12.0,Tl,0.0,True
mp-18842,TlV4O10,2.9483529973871594,0.0094547532006543,[8.0],1.0,1.0,1.0,Cube,1d,1,8.0,Tl,0.0,True
mp-18938,Tl2MoO4,2.46043174962266,0.2571146781981874,"[10.0, 6.0, 7.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Octahedron, Square-face bicapped square antiprism","2c, 1a, 1b",3,10.0,Tl,0.0,True
mp-18938,Tl2MoO4,2.46043174962266,0.2571146781981874,"[10.0, 6.0, 7.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Octahedron, Square-face bicapped square antiprism","2c, 1a, 1b",3,6.0,Tl,0.0,True
mp-18938,Tl2MoO4,2.46043174962266,0.2571146781981874,"[10.0, 6.0, 7.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Octahedron, Square-face bicapped square antiprism","2c, 1a, 1b",3,7.0,Tl,0.0,True
mp-19341,Tl2WO4,1.643159052159696,0.6765115439558822,"[6.0, 7.0]",1.0,1.0,1.0,"Icosahedron, End-trigonal-face capped trigonal prism, Octahedron","2d, 1a, 1b",3,6.0,Tl,0.0,True
mp-19341,Tl2WO4,1.643159052159696,0.6765115439558822,"[6.0, 7.0]",1.0,1.0,1.0,"Icosahedron, End-trigonal-face capped trigonal prism, Octahedron","2d, 1a, 1b",3,7.0,Tl,0.0,True
mp-19450,ScTl(MoO4)2,3.8670560617298073,-0.2613602453509039,[12.0],1.0,1.0,1.0,Icosahedron,1b,1,12.0,Tl,0.0,True
mp-19480,SmTl(MoO4)2,2.570360581820448,0.1635747834122124,[6.0],1.0,1.0,1.0,Square antiprism,4c,1,6.0,Tl,0.0,True
mp-19490,PrTl(MoO4)2,2.353918178499483,0.2936149885538242,[8.0],1.0,1.0,1.0,Square antiprism,4c,1,8.0,Tl,0.0,True
mp-20824,Sr2CaTlCu2O7,1.949667295973493,0.7001447965927186,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Tl,0.0,True
mp-21728,TlV3Cu5O13,3.1966735250184968,-0.0514229502368509,[10.0],1.0,1.0,1.0,Bicapped square prism (adjacent faces),2i,1,10.0,Tl,0.0,True
mp-2206289,Al11TlO17,4.812581259788393,-0.8052302227858146,[9.0],1.0,1.0,1.0,Triangular cupola,2b,1,9.0,Tl,0.0,True
