material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge
mp-1228911,Ba10Ru3W(Cl2O9)2,1.911446999604016,0.4099605096578448,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Ru,1.0,False
mp-1229142,Ba5Na2Ru3O14,1.9361623700539308,0.4268546211741554,"[6.0, 5.0]",5.5,5.0,6.0,"Octahedron, Trigonal bipyramid",2a,2,6.0,Ru,1.0,False
mp-1229142,Ba5Na2Ru3O14,1.9361623700539308,0.4268546211741554,"[6.0, 5.0]",5.5,5.0,6.0,"Octahedron, Trigonal bipyramid",2a,2,5.0,Ru,1.0,False
mp-1229266,Ba12SrCa3(Ru2O9)4,1.7293401327271642,1.4694971681764653,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ru,0.0,True
mp-1229333,Ba20Ga5Ru7O44,1.943760928954556,0.266971565665156,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1a, 1b",1,6.0,Ru,1.0,False
mp-1229333,Ba20Ga5Ru7O44,1.943760928954556,0.266971565665156,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1a, 1b",1,6.0,Ru,1.0,False
mp-12832,Ba3CaRu2O9,1.7217172738888138,1.5225346933834374,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ru,0.0,True
mp-14430,Sr2YRuO6,1.9802374355582468,0.0438841701963918,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-16796,Sr2GdRuO6,1.9481166000437744,0.0557320696694233,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-16821,Ba3PrRu2O9,1.494899002014063,1.782344489814259,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Ru,0.0,True
mp-17137,Ba3ZnRu2O9,1.7832232673330164,1.1642797208024818,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ru,0.0,True
mp-17237,Gd3RuO7,1.941282474079194,0.0577742625287124,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-17304,Ba4Ru3O10,1.76762399418766,0.6149806135733744,[6.0],4.0,4.0,4.0,Octahedron,"2a, 4e",1,6.0,Ru,0.0,True
mp-17546,Cs2RuO4,2.261941905744027,1.1936543080158466,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Ru,0.0,True
mp-17753,Nd3RuO7,1.9384317105128064,0.1329991423327922,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-17789,K2RuO4,1.9229624243549632,0.3629968819427869,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Ru,0.0,True
mp-17902,K3Na(RuO4)2,2.0223191506502083,0.6074682997533036,[4.0],6.0,6.0,6.0,Tetrahedron,4f,1,4.0,Ru,0.0,True
mp-18701,Ba3YRu2O9,1.878701467870065,0.6944064337590453,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ru,0.0,True
mp-19176,La2NiRuO6,1.9962534115907888,0.0846648490245394,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ru,0.0,True
mp-19501,Ba6Na2V2Ru2O17,1.7724252034912893,1.2380377598838077,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ru,0.0,True
mp-20472,LaRuO3,1.9417491549237795,0.2103731732500663,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Ru,0.0,True
mp-20687,Sr2LuRuO6,1.977925640836548,0.0254115210054703,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ru,0.0,True
mp-20947,CaRuO3,1.9350782525243937,0.1516700092785957,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Ru,0.0,True
mp-21466,Ca2RuO4,2.1089912509504707,-0.2854164652286727,[6.0],4.0,4.0,4.0,Octahedron,4a,1,6.0,Ru,0.0,True
mp-22352,Ba3InRu2O9,1.938537908225389,0.3735949622458774,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ru,0.0,True
mp-22363,Ba3NiRu2O9,1.7782319094831451,1.0705513123869357,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ru,0.0,True
mp-22472,Ba3CuRu2O9,1.7388734655130258,1.276608288678949,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ru,0.0,True
mp-24538,K2H12Ru(SO7)2,2.1349948418906792,0.0091417228450125,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-28908,Ba5(RuO5)2,1.61144467893884,1.983927487509888,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ru,0.0,True
mp-2912480,Sr2La2MgRuO8,2.259417083745692,-0.6852532614681064,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Ru,0.0,True
