material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,5.0,6.0,1.9754493789345244,2.0436169050890083,2.0242456629783043,0.02299543739809868,0.06816752615448385,83.85357514894436,37.781647992022314,0.0,162.38952036516295,6.0,1.0,2,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,6.0,6.0,1.975449378934524,2.0436169050890087,2.0242456629783034,0.022995437398098773,0.06816752615448474,46.25095563109108,29.298015094032774,0.0,92.6699002186588,6.0,1.0,3,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,7.0,6.0,1.9754493789345235,2.0436169050890083,2.0242456629783034,0.02299543739809888,0.06816752615448474,83.85357514894436,37.78164799202231,0.0,162.38952036516292,6.0,1.0,4,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,8.0,6.0,1.9836157019061074,2.044607660615015,2.021531858998943,0.02706358676621976,0.060991958708907834,76.53024209964543,35.592325283682875,0.0,110.218880053006,6.0,1.0,5,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,9.0,6.0,1.9836157019061076,2.044607660615015,2.021531858998944,0.027063586766219887,0.06099195870890761,72.36129846782602,44.54887257425031,0.0,172.38723299343346,6.0,1.0,6,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,10.0,6.0,1.9836157019061071,2.0446076606150148,2.021531858998943,0.027063586766219536,0.06099195870890761,76.53024218014,35.592325110604335,0.0,110.21888005300598,6.0,1.0,7,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,11.0,6.0,1.9836157019061067,2.0446076606150156,2.021531858998944,0.027063586766220563,0.060991958708908944,72.36129846782602,44.548872574250304,0.0,172.38723299343346,6.0,1.0,8,Octahedron
mp-1194240,Sr2GdCu2RuO8,1.6853581876176855,1.6690155773446012,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True,10.0,6.0,1.962951448784,2.003169708882421,1.9897636221829471,0.018959069628744805,0.04021826009842089,96.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1194240,Sr2GdCu2RuO8,1.6853581876176855,1.6690155773446012,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True,11.0,6.0,1.9629514487840003,2.003169708882422,1.9897636221829476,0.018959069628745117,0.040218260098421554,60.100377564787806,34.133420200558575,0.0,90.0,6.0,1.0,2,Octahedron
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False,15.0,6.0,2.030111290833054,2.0402242504748176,2.0334822773803087,0.004767294893702634,0.01011295964176373,32.78371519955798,10.293986199908723,15.71508809814019,48.18731517021883,6.0,1.0,1,Octahedron
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False,16.0,6.0,1.9295090668347872,2.064765861258218,2.005292276927714,0.05856078080353965,0.13525679442343086,34.61464401910709,12.2204377802924,14.54630031415308,54.265770877105595,6.0,1.0,2,Octahedron
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False,17.0,6.0,1.9295090668347923,2.064765861258212,2.005292276927713,0.05856078080353698,0.13525679442341954,34.614644019107054,12.220437780292396,14.546300314153054,54.265770877105524,6.0,1.0,3,Octahedron
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False,18.0,6.0,1.9395127359912665,2.086282533105272,2.0061721144189177,0.06060132113080455,0.14676979711400562,106.9228766496313,34.06502462554277,83.57801809707182,175.8199242414573,6.0,1.0,4,Octahedron
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False,19.0,6.0,1.939512735991263,2.0862825331052766,2.0061721144189177,0.06060132113080789,0.1467697971140136,106.92287664963129,34.06502462554277,83.57801809707182,175.8199242414572,6.0,1.0,5,Octahedron
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False,20.0,6.0,2.0201550332997735,2.0352465495282557,2.0306676513810626,0.004886387943481439,0.015091516228482149,107.41607412465183,34.98795180275769,84.63229659076218,177.57942313451807,6.0,1.0,6,Octahedron
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False,21.0,6.0,2.0201464647816763,2.0352546823399797,2.0306675537632457,0.004891180945140487,0.015108217558303494,107.41611254169807,34.988018295788606,84.63209927978447,177.5795232264589,6.0,1.0,7,Octahedron
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False,22.0,6.0,1.9426066948439902,2.0801500101076082,2.0087879425385595,0.06383462000778677,0.13754331526361807,106.75053366362891,33.82680642704482,82.28982640629417,177.6645688587654,6.0,1.0,8,Octahedron
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False,23.0,6.0,1.9426066948439922,2.080150010107606,2.008787942538559,0.06383462000778448,0.13754331526361385,106.7505336636289,33.82680642704477,82.28982640629415,177.6645688587651,6.0,1.0,9,Octahedron
