material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ir_wyckoff,num_Ir_chemenvs,CN,element,charge_range,is_single_charge
mp-680547,Ba14Ir8(PdO11)3,1.4655148189603342,1.429419406862125,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Ir,0.0,True
mp-685339,Bi12Ir12O41,2.0250586721419888,0.0051498852036781,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1a, 3d, 1b, 1c",1,6.0,Ir,1.0,False
mp-685339,Bi12Ir12O41,2.0250586721419888,0.0051498852036781,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1a, 3d, 1b, 1c",1,6.0,Ir,1.0,False
mp-738639,Ba14Ir8(PdO11)3,1.7460961188729685,0.7560482773343737,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Ir,0.0,True
mp-753375,Sr3Ir2O7,1.9313673926003752,0.2211284454700896,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Ir,0.0,True
mp-753633,CrIrO4,1.929731619573887,0.2219664196589179,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ir,0.0,True
mp-755117,Ba2IrO4,2.234272109925217,-0.4896321013941466,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ir,0.0,True
mp-766034,Sr5(IrO3)6,2.084475637384848,-0.2177611454764814,[6.0],4.33,4.33,4.33,Octahedron,6e,1,6.0,Ir,0.0,True
mp-772189,Bi3Ir3O11,1.987346087087986,0.1434858015309659,[6.0],5.0,5.0,5.0,Octahedron,12g,1,6.0,Ir,0.0,True
mp-9559,Nd3IrO7,1.9505214986919608,0.1898868220247853,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-9612,La3Ir3O11,1.4785091358714824,1.678766876632455,[6.0],4.33,4.33,4.33,Octahedron,12g,1,6.0,Ir,0.0,True
mp-980108,Sm2MgIrO6,1.9697156267743456,0.1836259420822293,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Ir,0.0,True
