material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Te_wyckoff,num_Te_chemenvs,CN,element,charge_range,is_single_charge
mp-680235,CsSbTe6(OF5)6,1.8985911946907947,0.0930500135729475,[1.0],6.0,6.0,6.0,Octahedron,8g,1,1.0,Te,0.0,True
mp-680388,ZnCuTeCl2O3,1.955636048237101,0.0647599546489363,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8e,1,3.0,Te,0.0,True
mp-680711,Ca4Te5O14,2.0348683602665703,0.7932453856137031,"[3.0, 4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid, Triangular non-coplanar",8c,3,3.0,Te,0.0,True
mp-680711,Ca4Te5O14,2.0348683602665703,0.7932453856137031,"[3.0, 4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid, Triangular non-coplanar",8c,3,4.0,Te,0.0,True
mp-680711,Ca4Te5O14,2.0348683602665703,0.7932453856137031,"[3.0, 4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid, Triangular non-coplanar",8c,3,5.0,Te,0.0,True
mp-683957,Nd4CuTe5(ClO5)3,2.139531407082582,0.9173816020835476,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2c,2,3.0,Te,0.0,True
mp-683957,Nd4CuTe5(ClO5)3,2.139531407082582,0.9173816020835476,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2c,2,4.0,Te,0.0,True
mp-683967,Cd7Te7Cl8O17,2.050977589961439,0.5754838902650831,"[4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid",4a,2,4.0,Te,0.0,True
mp-683967,Cd7Te7Cl8O17,2.050977589961439,0.5754838902650831,"[4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid",4a,2,5.0,Te,0.0,True
mp-684006,Ag3TeIO4,1.9793429039599493,0.5636533420564017,[6.0],6.0,6.0,6.0,Octahedron,4e,1,6.0,Te,0.0,True
