material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sb_wyckoff,num_Sb_chemenvs,CN,element,charge_range,is_single_charge
mp-1201515,Fe7Sb10(Cl4O9)2,1.9830058611473504,0.4526820203565441,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,3.0,Sb,0.0,True
mp-1201515,Fe7Sb10(Cl4O9)2,1.9830058611473504,0.4526820203565441,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,3.0,Sb,0.0,True
mp-1201515,Fe7Sb10(Cl4O9)2,1.9830058611473504,0.4526820203565441,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,4.0,Sb,0.0,True
mp-1201515,Fe7Sb10(Cl4O9)2,1.9830058611473504,0.4526820203565441,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,5.0,Sb,0.0,True
mp-1202934,Ag3SbO4,1.9477340834769836,0.3461525840846284,[6.0],5.0,5.0,5.0,Octahedron,4b,1,6.0,Sb,0.0,True
mp-1202960,Sb2O3,2.0031571782937476,0.9788921384924484,"[3.0, 4.0]",3.0,3.0,3.0,"See-saw, Triangular non-coplanar",4a,2,3.0,Sb,0.0,True
mp-1202960,Sb2O3,2.0031571782937476,0.9788921384924484,"[3.0, 4.0]",3.0,3.0,3.0,"See-saw, Triangular non-coplanar",4a,2,4.0,Sb,0.0,True
mp-1203289,CsGeSbO5,1.9244830145922331,0.4786327298060506,[6.0],5.0,5.0,5.0,Octahedron,8g,1,6.0,Sb,0.0,True
mp-1203539,GdSbMo2O9,1.8644366241289576,0.8681988670427015,[4.0],3.0,3.0,3.0,See-saw,4f,1,4.0,Sb,0.0,True
mp-1203691,Fe7Sb10(Br4O9)2,2.026013867020251,0.2856521141498026,"[3.0, 3.0, 4.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,3.0,Sb,0.0,True
