material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,P_wyckoff,num_P_chemenvs,CN,element,charge_range,is_single_charge
mp-1222872,Li2Zr4As3(PO8)3,1.5374883776265584,-0.0470564421495003,[4.0],5.0,5.0,5.0,Tetrahedron,3e,1,4.0,P,0.0,True
mp-1223005,Li3FeNi2(PO4)3,1.7408309903769552,0.8096266666898574,[4.0],5.0,5.0,5.0,Tetrahedron,"1b, 1a",1,4.0,P,0.0,True
mp-1223044,Li3ZnFe2(PO4)3,1.7337639108379026,0.7785369025179265,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1223146,La3Tb(PO4)4,1.5900246034842176,0.1598827658403824,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1223398,KNaTi4(PO4)6,1.5424163999345528,-0.0053629626431798,[4.0],5.0,5.0,5.0,Tetrahedron,6f,1,4.0,P,0.0,True
mp-1223403,KP2(W3O11)2,1.564978168488203,0.0815015998619975,[4.0],5.0,5.0,5.0,Tetrahedron,"1b, 1a",1,4.0,P,0.0,True
mp-1223406,KRbTi4(PO4)6,1.5450068292874626,0.0009225491440931,[4.0],5.0,5.0,5.0,Tetrahedron,6f,1,4.0,P,0.0,True
mp-1223415,KTi2(PO4)3,1.5748840153529071,0.1363287713433068,[4.0],5.0,5.0,5.0,Tetrahedron,12b,1,4.0,P,0.0,True
mp-1223429,KNaP6(PbO3)8,1.5716034884840524,0.1283101476027452,[4.0],5.0,5.0,5.0,"Tetrahedron, Pentagonal pyramid, Tricapped triangular prism (three square-face caps)","3d, 1b, 1a",3,4.0,P,0.0,True
mp-1223454,KP4(WO4)8,1.5348393421575035,-0.0329606962648871,[4.0],5.0,5.0,5.0,Tetrahedron,"2b, 1a",1,4.0,P,0.0,True
mp-1223489,KP(HO2)2,1.380478689108625,-0.8023862490500532,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1223505,KNaHf4(PO4)6,1.5455126487274429,0.0053290086521942,[4.0],5.0,5.0,5.0,Tetrahedron,6f,1,4.0,P,0.0,True
mp-1223540,KNb3(PO5)3,1.5675514733240918,0.1040661482611629,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1223640,KBaCr2(PO4)3,1.5516799712210725,0.0081039200150715,[4.0],5.0,5.0,5.0,no_data,no_data,1,4.0,P,0.0,True
mp-1223661,KMgFe(PO4)2,1.634803680479261,0.382690884389287,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1223679,KBP2PbO8,1.7310464118541833,0.782073512634475,[4.0],5.0,5.0,5.0,"Square-face bicapped trigonal prism, Tetrahedron",2a,2,4.0,P,0.0,True
mp-12237,HoP5O14,1.59049929435953,0.2563416518216181,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,P,0.0,True
mp-1223701,KRbMn2Ga4P6(H2O7)4,1.5043117461379931,-0.2193689933158528,[4.0],5.0,5.0,5.0,Tetrahedron,"2c, 1b, 1a",1,4.0,P,0.0,True
mp-1223774,K7RbTi8(PO5)8,1.562521085489199,0.0421336108112901,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1223809,KMoP3WO12,1.586249068610343,0.181717222780648,[4.0],5.0,5.0,5.0,Tetrahedron,"2b, 2a, 4c",1,4.0,P,0.0,True
