material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ge_wyckoff,num_Ge_chemenvs,CN,element,charge_range,is_single_charge
mp-757722,BaZnGeO4,1.7723902884611324,-0.148381004631672,[4.0],4.0,4.0,4.0,Tetrahedron,6c,1,4.0,Ge,0.0,True
mp-757981,Na2SnGe2(HO4)2,1.7813791602983549,0.4289852531440224,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-7588,CdGeO3,1.7925747987217413,0.3525611038179027,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","2a, 4d, 8f, 2b",2,4.0,Ge,0.0,True
mp-7588,CdGeO3,1.7925747987217413,0.3525611038179027,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","2a, 4d, 8f, 2b",2,6.0,Ge,0.0,True
mp-764992,Co29Ge13O56,1.8047526918170136,-0.0285353033695751,[4.0],4.0,4.0,4.0,Tetrahedron,"1a, 3b",1,4.0,Ge,0.0,True
mp-767438,YFeGe2O7,1.7423329999117088,0.7878686485608933,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",2i,2,4.0,Ge,0.0,True
mp-767438,YFeGe2O7,1.7423329999117088,0.7878686485608933,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",2i,2,5.0,Ge,0.0,True
mp-768388,Lu2GeO5,1.7484659600136596,0.2269561136563594,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Ge,0.0,True
mp-768517,Tm2GeO5,1.777885248937742,0.4131860718624021,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-768814,Y2GeO5,1.7040552211970557,0.6123496551830193,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Ge,0.0,True
mp-768865,Lu2GeO5,1.7284471787645743,0.5649540804264042,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Ge,0.0,True
mp-768873,Y2GeO5,1.7634963899154317,0.3756861137608874,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-768877,Sn2Ge2O7,1.783564334050558,0.2522337126776242,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-768947,Li10Zn3(GeO4)4,1.7864477012576585,0.5091667287787237,[4.0],4.0,4.0,4.0,Tetrahedron,1a,1,4.0,Ge,0.0,True
mp-769346,Y2Ge2O7,1.7790635648943975,0.3145086633513233,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
