material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ga_wyckoff,num_Ga_chemenvs,CN,element,charge_range,is_single_charge
mp-1218718,Sr2PrGaO5,1.937845527305902,-0.2807793238158239,[4.0],3.0,3.0,3.0,Tetrahedron,2i,1,4.0,Ga,0.0,True
mp-1218758,Sr2LaGaO5,2.0039251443608928,-0.5034159093000037,[4.0],3.0,3.0,3.0,Tetrahedron,2i,1,4.0,Ga,0.0,True
mp-1218775,Sr2MnGaO5,2.554190700102054,-2.256670560468133,[4.0],3.0,3.0,3.0,Tetrahedron,4i,1,4.0,Ga,0.0,True
mp-1218783,Sr3Ga3B4HO14,1.768591271134225,0.3498065293459346,"[4.0, 5.0]",3.0,3.0,3.0,"Tetrahedron, Square pyramid",2a,2,4.0,Ga,0.0,True
mp-1218783,Sr3Ga3B4HO14,1.768591271134225,0.3498065293459346,"[4.0, 5.0]",3.0,3.0,3.0,"Tetrahedron, Square pyramid",2a,2,5.0,Ga,0.0,True
mp-1218805,Sr2LaGa11O20,1.7644287505704142,0.353161511896507,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,4.0,Ga,0.0,True
mp-1218805,Sr2LaGa11O20,1.7644287505704142,0.353161511896507,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ga,0.0,True
mp-1220260,Nd3Sm(GaO3)4,1.9854567741176925,0.0470149376265318,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,Ga,0.0,True
mp-1220307,Nd3Ga5SiO14,1.7789600771550824,0.3250490463089302,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,4.0,Ga,0.0,True
mp-1220307,Nd3Ga5SiO14,1.7789600771550824,0.3250490463089302,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ga,0.0,True
mp-1220573,Nd2MnGaO6,2.078560577265523,-0.0650225477589565,[6.0],3.0,3.0,3.0,Octahedron,2d,1,6.0,Ga,0.0,True
mp-1220762,Pr5Ti4GaO17,1.5446120175898277,0.6970826933584796,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Ga,0.0,True
mp-1220817,NaLi3Ga4(SiO3)8,1.6654526401364234,0.5044720596867125,[6.0],3.0,3.0,3.0,Octahedron,"1a, 1b, 2c",1,6.0,Ga,0.0,True
mp-1220982,NaLiGa2(SiO3)4,1.6863033712966924,0.4742478623979376,[6.0],3.0,3.0,3.0,Octahedron,"1a, 1b",1,6.0,Ga,0.0,True
mp-1221051,Nd5Ti4GaO17,1.5121961153736634,0.7445310931208247,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Ga,0.0,True
mp-1221117,NaCaGaSi2O7,1.7636259449303986,0.3089122921343133,[4.0],3.0,3.0,3.0,Tetrahedron,2a,1,4.0,Ga,0.0,True
mp-1221279,Na3LiGa4(SiO3)8,1.7096329450193548,0.4427902068259387,[6.0],3.0,3.0,3.0,Octahedron,"1d, 1a, 1b, 1c",1,6.0,Ga,0.0,True
mp-1222146,MgIn2Ga2CuO8,2.3941538104800006,-0.8172612775818717,[5.0],3.0,3.0,3.0,Trigonal bipyramid,1a,1,5.0,Ga,0.0,True
