material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Hf_wyckoff,num_Hf_chemenvs,CN,element,charge_range,is_single_charge
mp-760007,Hf3N2O3,1.9188518678734623,0.4215208845513715,"[3.0, 4.0]",4.0,4.0,4.0,Octahedron,"4f, 2c",1,3.0,Hf,0.0,True
mp-760007,Hf3N2O3,1.9188518678734623,0.4215208845513715,"[3.0, 4.0]",4.0,4.0,4.0,Octahedron,"4f, 2c",1,4.0,Hf,0.0,True
mp-761033,Hf3N2O3,1.9125705257103345,0.4206101665146569,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,2.0,Hf,0.0,True
mp-761033,Hf3N2O3,1.9125705257103345,0.4206101665146569,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,3.0,Hf,0.0,True
mp-761033,Hf3N2O3,1.9125705257103345,0.4206101665146569,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,4.0,Hf,0.0,True
mp-766090,Hf3Sc4O12,1.6268603419764245,1.0173582670095622,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",2i,2,6.0,Hf,0.0,True
mp-766090,Hf3Sc4O12,1.6268603419764245,1.0173582670095622,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",2i,2,7.0,Hf,0.0,True
mp-768234,La2HfO5,1.9238756205241665,0.4798214065497911,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Hf,0.0,True
mp-768237,Gd2HfO5,1.9357681922893677,0.3666275025567999,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Hf,0.0,True
mp-768305,Sr2HfO4,2.224519047526606,-0.4165784928053885,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Hf,0.0,True
mp-770372,CeHfO4,1.973210898108152,0.3314703020491104,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Hf,0.0,True
mp-770805,Li6Hf2O7,1.8040350782982764,0.6922224461618995,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Hf,0.0,True
mp-770997,Li2HfO3,2.236161767750283,-0.3832813119989258,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Hf,0.0,True
mp-771121,La2HfO5,2.0260694700096225,0.326358015399104,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Hf,0.0,True
mp-771139,Cs4HfO4,1.9580990446082116,0.0949791417297681,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Hf,0.0,True
mp-772185,Li6Hf2O7,1.8181178150686232,0.6477861166930607,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Hf,0.0,True
mp-772778,KHfPCO7,1.877254436117872,0.5015384762948611,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Hf,0.0,True
mp-772823,Y2HfO5,2.4356178659651864,-0.76721303026156,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Hf,0.0,True
mp-772833,Y2HfO5,1.945197285290852,0.3120780463390882,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Hf,0.0,True
mp-772850,La2Hf2O7,1.8806250240033704,0.5437027312998868,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Hf,0.0,True
mp-775757,HfO2,1.9555912124900572,0.3823292588982932,[7.0],4.0,4.0,4.0,Square-face capped trigonal prism,8c,1,7.0,Hf,0.0,True
mp-775783,Hf2N2O,1.8971026780609463,0.4336190571829018,"[2.0, 1.0, 3.0, 4.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,2.0,Hf,0.0,True
mp-775783,Hf2N2O,1.8971026780609463,0.4336190571829018,"[2.0, 1.0, 3.0, 4.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,1.0,Hf,0.0,True
mp-775783,Hf2N2O,1.8971026780609463,0.4336190571829018,"[2.0, 1.0, 3.0, 4.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,3.0,Hf,0.0,True
mp-775783,Hf2N2O,1.8971026780609463,0.4336190571829018,"[2.0, 1.0, 3.0, 4.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,4.0,Hf,0.0,True
mp-775784,Hf2N2O,1.8549098511265456,0.5012784937918359,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,2.0,Hf,0.0,True
mp-775784,Hf2N2O,1.8549098511265456,0.5012784937918359,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,1.0,Hf,0.0,True
mp-775784,Hf2N2O,1.8549098511265456,0.5012784937918359,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,3.0,Hf,0.0,True
mp-775785,Hf2N2O,1.975484899357022,0.3305775125891612,"[2.0, 1.0, 0, 3.0, 4.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,2.0,Hf,0.0,True
mp-775785,Hf2N2O,1.975484899357022,0.3305775125891612,"[2.0, 1.0, 0, 3.0, 4.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,1.0,Hf,0.0,True
mp-775785,Hf2N2O,1.975484899357022,0.3305775125891612,"[2.0, 1.0, 0, 3.0, 4.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,0.0,Hf,0.0,True
mp-775785,Hf2N2O,1.975484899357022,0.3305775125891612,"[2.0, 1.0, 0, 3.0, 4.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,3.0,Hf,0.0,True
mp-775785,Hf2N2O,1.975484899357022,0.3305775125891612,"[2.0, 1.0, 0, 3.0, 4.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,4.0,Hf,0.0,True
mp-775786,Hf2N2O,1.8047983348632672,0.5694446449581688,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,2.0,Hf,0.0,True
mp-775786,Hf2N2O,1.8047983348632672,0.5694446449581688,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,1.0,Hf,0.0,True
mp-775786,Hf2N2O,1.8047983348632672,0.5694446449581688,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,3.0,Hf,0.0,True
mp-775799,Hf2N2O,1.954286393301085,0.3631280793349655,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,2.0,Hf,0.0,True
mp-775799,Hf2N2O,1.954286393301085,0.3631280793349655,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,1.0,Hf,0.0,True
mp-775799,Hf2N2O,1.954286393301085,0.3631280793349655,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,3.0,Hf,0.0,True
mp-776212,Hf2N2O,1.8851594412490664,0.4570681234185995,"[2.0, 1.0, 0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,2.0,Hf,0.0,True
mp-776212,Hf2N2O,1.8851594412490664,0.4570681234185995,"[2.0, 1.0, 0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,1.0,Hf,0.0,True
mp-776212,Hf2N2O,1.8851594412490664,0.4570681234185995,"[2.0, 1.0, 0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,0.0,Hf,0.0,True
mp-776212,Hf2N2O,1.8851594412490664,0.4570681234185995,"[2.0, 1.0, 0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,3.0,Hf,0.0,True
mp-776213,Hf2N2O,1.888552029375438,0.4508661804827484,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,2.0,Hf,0.0,True
mp-776213,Hf2N2O,1.888552029375438,0.4508661804827484,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,1.0,Hf,0.0,True
