material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,As_wyckoff,num_As_chemenvs,CN,element,charge_range,is_single_charge
mp-545346,LiGaAs2O7,1.7815253533610502,0.2633162339703548,[4.0],5.0,5.0,5.0,Tetrahedron,2c,1,4.0,As,0.0,True
mp-546953,Co2As2O7,1.861614390895165,1.2181811214458078,[5.0],5.0,5.0,5.0,"Trigonal bipyramid, Tetrahedron",1a,2,5.0,As,0.0,True
mp-547017,LiAlAs2O7,1.7838858448561443,0.2868349189495546,[4.0],5.0,5.0,5.0,Tetrahedron,2c,1,4.0,As,0.0,True
mp-550925,NaScAs2O7,1.7908939915602216,0.3120354027040355,[4.0],5.0,5.0,5.0,Tetrahedron,2c,1,4.0,As,0.0,True
mp-551131,Co2AsClO4,1.8083065039820136,0.3518985442639996,[4.0],5.0,5.0,5.0,Tetrahedron,2e,1,4.0,As,0.0,True
mp-552663,LiScAs2O7,1.7784737110712634,0.2626218274030277,[4.0],5.0,5.0,5.0,Tetrahedron,2c,1,4.0,As,0.0,True
mp-553000,BaCo2(AsO4)2,1.8666428155717765,0.5906984205473887,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,As,0.0,True
mp-553912,NaZr2(AsO4)3,1.7112361026087402,0.0109513464160177,[4.0],5.0,5.0,5.0,Tetrahedron,6e,1,4.0,As,0.0,True
mp-554083,BaZnAs2O7,1.796007031329338,0.3007720730808275,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-554090,Bi7Mo2(AsO8)3,1.73873762007061,0.0110023908227997,[4.0],5.0,5.0,5.0,Tetrahedron,"8d, 4c",1,4.0,As,0.0,True
mp-554206,Cs2Al2As2O7,1.7991440482333778,0.749422845754167,[3.0],3.0,3.0,3.0,no_data,no_data,1,3.0,As,0.0,True
mp-554223,RbScAs2O7,1.832708982036532,0.4970927045918641,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-554229,CsAs3O8,1.786756656219056,0.3743679868940188,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron","2e, 4f",2,4.0,As,0.0,True
mp-554229,CsAs3O8,1.786756656219056,0.3743679868940188,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron","2e, 4f",2,6.0,As,0.0,True
mp-554298,Cu2As2O7,1.7503454998438843,0.2352369929773755,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,As,0.0,True
mp-554493,BiAsPbO5,1.7431306913765792,0.0745977342940359,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
