material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pb_wyckoff,num_Pb_chemenvs,CN,element,charge_range,is_single_charge
mp-1194748,Ba4Zn4B14Pb2O31,1.8858616649977225,0.7684472655241368,"[4.0, 5.0]",2.0,2.0,2.0,"See-saw, Square pyramid",2a,2,4.0,Pb,0.0,True
mp-1194748,Ba4Zn4B14Pb2O31,1.8858616649977225,0.7684472655241368,"[4.0, 5.0]",2.0,2.0,2.0,"See-saw, Square pyramid",2a,2,5.0,Pb,0.0,True
mp-1194787,Cd2B6PbO12,2.01091427515849,0.482760460754336,[9.0],2.0,2.0,2.0,Square-face bicapped trigonal prism,4e,1,9.0,Pb,0.0,True
mp-1194892,SiP4PdPbO14,2.7616447487330973,0.0878073288050426,[10.0],2.0,2.0,2.0,Bicapped square prism (opposite faces),2e,1,10.0,Pb,0.0,True
mp-1195003,B3Pb6O10F,1.9292380515254144,0.641759837923195,"[4.0, 4.0, 6.0, 7.0]",2.0,2.0,2.0,"Octahedron, See-saw, Square-face capped trigonal prism, Square pyramid","4d, 8e",4,4.0,Pb,0.0,True
mp-1195003,B3Pb6O10F,1.9292380515254144,0.641759837923195,"[4.0, 4.0, 6.0, 7.0]",2.0,2.0,2.0,"Octahedron, See-saw, Square-face capped trigonal prism, Square pyramid","4d, 8e",4,4.0,Pb,0.0,True
mp-1195003,B3Pb6O10F,1.9292380515254144,0.641759837923195,"[4.0, 4.0, 6.0, 7.0]",2.0,2.0,2.0,"Octahedron, See-saw, Square-face capped trigonal prism, Square pyramid","4d, 8e",4,6.0,Pb,0.0,True
mp-1195003,B3Pb6O10F,1.9292380515254144,0.641759837923195,"[4.0, 4.0, 6.0, 7.0]",2.0,2.0,2.0,"Octahedron, See-saw, Square-face capped trigonal prism, Square pyramid","4d, 8e",4,7.0,Pb,0.0,True
mp-1195073,Al2Si2PbO8,2.8404205530322897,-0.0259301323787239,[8.0],2.0,2.0,2.0,Cube,4e,1,8.0,Pb,0.0,True
mp-1195127,Ba4Zn4B14Pb2O31,1.7801555041009829,0.8868545759838622,"[4.0, 5.0]",2.0,2.0,2.0,"See-saw, Trigonal bipyramid",3a,2,4.0,Pb,0.0,True
mp-1195127,Ba4Zn4B14Pb2O31,1.7801555041009829,0.8868545759838622,"[4.0, 5.0]",2.0,2.0,2.0,"See-saw, Trigonal bipyramid",3a,2,5.0,Pb,0.0,True
mp-1195199,VPbSeO5F,2.731825673679352,-0.0006267814414671,[6.0],2.0,2.0,2.0,Square antiprism,8c,1,6.0,Pb,0.0,True
mp-1195239,B3Pb6BrO10,2.2707021154410367,0.2028138834501593,"[3.0, 3.0, 4.0]",2.0,2.0,2.0,"End-trigonal-face capped trigonal prism, See-saw, Square pyramid","4d, 8e",3,3.0,Pb,0.0,True
mp-1195239,B3Pb6BrO10,2.2707021154410367,0.2028138834501593,"[3.0, 3.0, 4.0]",2.0,2.0,2.0,"End-trigonal-face capped trigonal prism, See-saw, Square pyramid","4d, 8e",3,3.0,Pb,0.0,True
