material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zn_wyckoff,num_Zn_chemenvs,CN,element,charge_range,is_single_charge
mp-1048892,V2ZnO4,1.814640236067176,0.2782380984664753,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",1a,2,4.0,Zn,0.0,True
mp-1048892,V2ZnO4,1.814640236067176,0.2782380984664753,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",1a,2,6.0,Zn,0.0,True
mp-1084840,TiZn(BiO3)2,1.9846487247491875,0.0728153500925675,[5.0],2.0,2.0,2.0,Square pyramid,1a,1,5.0,Zn,0.0,True
mp-1095420,ZnMoO4,2.4629842385309786,-0.2537062608051557,[6.0],2.0,2.0,2.0,Octahedron,2f,1,6.0,Zn,0.0,True
mp-1096979,NaVZnO4,1.9251887499257028,0.0628072151178451,[4.0],2.0,2.0,2.0,Tetrahedron,6c,1,4.0,Zn,0.0,True
mp-1100825,Zn3Mo3O8,1.8074092869844065,0.3232169618492762,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron","1a, 2i",2,4.0,Zn,0.0,True
mp-1100825,Zn3Mo3O8,1.8074092869844065,0.3232169618492762,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron","1a, 2i",2,6.0,Zn,0.0,True
mp-1100888,Zn(Fe2O3)4,1.7786491212365032,0.3361066916169579,[4.0],2.0,2.0,2.0,no_data,no_data,1,4.0,Zn,0.0,True
mp-1101018,TiZn2O4,1.791991395551061,0.3124608173233875,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron","4c, 4a",2,4.0,Zn,0.0,True
mp-1101018,TiZn2O4,1.791991395551061,0.3124608173233875,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron","4c, 4a",2,6.0,Zn,0.0,True
mp-1101180,Zn11Fe25O48,1.8360686934355968,0.2472161387865654,[4.0],2.0,2.0,2.0,Tetrahedron,"2b, 1a",1,4.0,Zn,0.0,True
mp-1104064,ZnHIO4,1.7621417142947975,0.3625549457560356,[5.0],2.0,2.0,2.0,Trigonal bipyramid,2a,1,5.0,Zn,0.0,True
mp-1105584,VZn2BiO6,1.805477969854936,0.2915984616484139,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2i,2,4.0,Zn,0.0,True
mp-1105584,VZn2BiO6,1.805477969854936,0.2915984616484139,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2i,2,6.0,Zn,0.0,True
mp-1120751,Ba6ZnCo5(SiO4)6,2.0490417060777224,-0.1041266815042636,[4.0],2.0,2.0,2.0,Tetrahedron,1a,1,4.0,Zn,0.0,True
mp-1120760,ZnFe2(P2O7)2,1.5327735987050448,0.5421102339868573,[6.0],2.0,2.0,2.0,Trigonal prism,4c,1,6.0,Zn,0.0,True
mp-1171226,MnZn(SiO3)2,1.5203960146859847,0.6905249597021532,[4.0],2.0,2.0,2.0,See-saw,2e,1,4.0,Zn,0.0,True
mp-1173198,Sr6La4Zn3(RuO10)2,2.560161408965682,-0.4148545324891488,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True
mp-1173238,Sr3La3Zn2RuO12,2.869222045019798,-0.6695724444886518,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True
mp-1173489,Nb2Zn(PbO3)3,2.223480086689878,9.575686724745176e-05,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True
mp-1173582,NaZnFe(PO4)2,1.770653380887601,0.3530722734033427,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Zn,0.0,True
mp-1178725,Zn3BPO7,1.8359094208510305,0.2647413616577092,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Trigonal bipyramid",6l,2,4.0,Zn,0.0,True
mp-1178725,Zn3BPO7,1.8359094208510305,0.2647413616577092,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Trigonal bipyramid",6l,2,5.0,Zn,0.0,True
mp-1178789,V2ZnO6,1.2831855406276802,0.8289929216930545,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True
mp-1179542,Zn3B7BrO13,1.958373909950448,0.1517130992482308,[4.0],2.0,2.0,2.0,Trigonal bipyramid,4a,1,4.0,Zn,0.0,True
mp-1181196,MnZn2Si(HO3)2,2.0713219540922028,-0.100627493854898,[4.0],2.0,2.0,2.0,Tetrahedron,4e,1,4.0,Zn,0.0,True
mp-1187832,Tl2ZnP4(HO2)8,2.1484178015739546,-0.0197485012844194,[6.0],2.0,2.0,2.0,Octahedron,1e,1,6.0,Zn,0.0,True
mp-1189154,NaZnSO4F,2.6377813754307264,-0.3796780445164546,[4.0],2.0,2.0,2.0,Octahedron,2a,1,4.0,Zn,0.0,True
mp-1190181,Sr3Zn3Te(PO7)2,1.7705698123753848,0.2918312814855197,[4.0],2.0,2.0,2.0,Tetrahedron,3f,1,4.0,Zn,0.0,True
mp-1190321,Zn3P2Pb3WO14,1.891144817876972,0.1233503466704592,[4.0],2.0,2.0,2.0,Tetrahedron,3f,1,4.0,Zn,0.0,True
mp-1190350,Ho2ZnTe2(SO7)2,2.2550533837424545,-0.1281400417960915,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Zn,0.0,True
mp-1190377,Er2ZnTe2(SO7)2,2.248584179314356,-0.121690776031168,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Zn,0.0,True
mp-1190396,Sm2ZnTe2(SO7)2,2.286579134121717,-0.1514224084002404,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Zn,0.0,True
mp-1190411,V2Zn3TePb3O14,1.915258776070668,0.0951877832009931,[4.0],2.0,2.0,2.0,Tetrahedron,3f,1,4.0,Zn,0.0,True
mp-1190416,Ba3Zn3Te(PO7)2,1.7443632134777172,0.3588666453333619,[4.0],2.0,2.0,2.0,Tetrahedron,3f,1,4.0,Zn,0.0,True
mp-1190458,Gd2ZnTe2(SO7)2,2.3004139898785785,-0.1588669883189719,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Zn,0.0,True
mp-1190498,Zn3TeP2Pb3O14,1.857427245273456,0.1265138876316315,[4.0],2.0,2.0,2.0,Tetrahedron,3f,1,4.0,Zn,0.0,True
mp-1190527,Dy2ZnTe2(SO7)2,2.273758218762888,-0.1438270723216836,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Zn,0.0,True
mp-1190900,BaZn2Si2O7,1.543640311712402,0.6549575292934736,[4.0],2.0,2.0,2.0,Tetrahedron,4b,1,4.0,Zn,0.0,True
mp-1190901,VZn2IO7,2.0621282948577777,0.045835240084427,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid",2a,2,5.0,Zn,0.0,True
mp-1190901,VZn2IO7,2.0621282948577777,0.045835240084427,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid",2a,2,6.0,Zn,0.0,True
mp-1191333,Zn2MoSeO7,1.8510439993780163,0.2387176218030604,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid",2a,2,4.0,Zn,0.0,True
mp-1191333,Zn2MoSeO7,1.8510439993780163,0.2387176218030604,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid",2a,2,6.0,Zn,0.0,True
mp-1191459,KZn(BO2)3,1.6256278241124729,0.5365351450903642,[4.0],2.0,2.0,2.0,Tetrahedron,2i,1,4.0,Zn,0.0,True
mp-1191811,BaZnTe2O7,2.072542115575652,-0.0032810227407084,[5.0],2.0,2.0,2.0,Square pyramid,2b,1,5.0,Zn,0.0,True
mp-1192094,Mn3ZnO7,1.9523601991481183,-0.0028275412227675,[4.0],2.0,2.0,2.0,Tetrahedron,2c,1,4.0,Zn,0.0,True
mp-1192126,Zn2TeMoO7,2.019442560832546,0.058168912442488,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2a,2,4.0,Zn,0.0,True
mp-1192126,Zn2TeMoO7,2.019442560832546,0.058168912442488,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2a,2,6.0,Zn,0.0,True
